team,fouls_won_total,games,touches,fouls_per_game
Chelsea,563,38,19284,14.816
Arsenal,524,38,20825,13.789
West Ham United,513,38,14802,13.5
Swansea City,510,38,17688,13.421
Crystal Palace,486,38,13546,12.789
Everton,485,38,18005,12.763
Tottenham Hotspur,464,38,18350,12.211
Manchester City,461,38,20285,12.132
AFC Bournemouth,444,38,17181,11.684
Liverpool,440,38,19152,11.579
Watford,437,38,13666,11.5
Stoke City,435,38,15879,11.447
West Bromwich Albion,434,38,11487,11.421
Sunderland,434,38,11963,11.421
Manchester United,431,38,19615,11.342
Aston Villa,426,38,15018,11.211
Southampton,426,38,15530,11.211
Newcastle United,425,38,14680,11.184
Leicester City,412,38,12487,10.842
Norwich City,362,38,13879,9.526
